approved_term,wrong_usage,comment
фотографічна розвідка,5. Військові аналізують фотографічні знімки для виявлення можливих загроз.,некоректне спрощення
всеосяжність розвідки,1. Всеосяжність розвідки є важливою складовою військової стратегії,недостатнє розуміння всіх аспектів розвідки.
всеосяжність розвідки,2. Наша армія має забезпечити всеосяжність розвідки на території супротивника,"заміна поняття ""всебічність"" на ""всеосяжність""."
всеосяжність розвідки,3. Командування забезпечило всеосяжність розвідки за допомогою дронів і супутників,"надто загальне використання терміну ""всеосяжність""."
всеосяжність розвідки,4. Важливо пам'ятати про всеосяжність розвідки під час ведення бойових дій,перекручення значення терміну.
всеосяжність розвідки,5. Спеціальні військові підрозділи відповідають за забезпечення всеосяжності розвідки на території ворога,"неточне використання терміну ""всеосяжність""."
гнучкість розвідки,1. Наші війська виявили гнучкість розвідки на ворожому території.,надто загальне
гнучкість розвідки,2. Командир відділку похвалив солдатів за їхню гнучкість розвідки.,неточний переклад
гнучкість розвідки,3. Офіцери використовують гнучкість розвідки для збирання інформації про ворожі позиції.,заміна
гнучкість розвідки,4. Розвідники продемонстрували високу гнучкість розвідки під час виконання завдання.,перекручення
гнучкість розвідки,5. Гнучкість розвідки є важливою складовою успішного ведення війни.,некоректне спрощення
доступність розвідки,1. Під час бойових дій важливо забезпечити доступність розвідки.,надто загальне.
доступність розвідки,2. Стратегічне планування військових операцій передбачає врахування доступності розвідки.,неточний переклад.
доступність розвідки,3. Висока доступність розвідки дозволяє ефективно керувати військовими діями.,калька з російської.
доступність розвідки,4. Недостатня доступність розвідки може призвести до непередбачуваних наслідків.,перекручення.
доступність розвідки,5. Варто зробити акцент на підвищенні доступності розвідки для підвищення ефективності військових операцій.,некоректне спрощення.
надійність розвідки,1. Армія підняла рівень надійності розвідки в рамках військових операцій.,надто загальне
надійність розвідки,2. Спеціальні служби забезпечують надійність розвідки на території супротивника.,надто загальне
надійність розвідки,3. Висока надійність розвідки дозволяє забезпечити безпеку національних інтересів.,надто загальне
надійність розвідки,4. Надійність розвідки є ключовим фактором у плануванні військових операцій.,надто загальне
надійність розвідки,5. Збільшення надійності розвідки сприяє підвищенню ефективності ведення бойових дій.,надто загальне
обмін розвідки,1. Військові вирішили провести обмін розвідкою з супротивником.,надто загальне.
обмін розвідки,2. Під час обміну розвідки отримали цінну інформацію про ворожі позиції.,неточний переклад.
обмін розвідки,3. Спецслужби ведуть обмін розвідкою з місцевими жителями для отримання інформації.,перекручення.
обмін розвідки,4. Збройні сили використовують обмін розвідки для здобуття переваги в боротьбі з ворогом.,некоректне спрощення.
обмін розвідки,5. Під час військових дій важливо вести обмін розвідки для забезпечення безпеки військових підрозділів.,заміна.
оперативна сумісність розвідки,1. Наш військовий підрозділ відзначився високою оперативною сумісністю розвідки під час виконання завдань,надто загальне.
оперативна сумісність розвідки,2. Ця військова операція проводилась з великими успіхами завдяки високій оперативній сумісності розвідки,неточний переклад.
оперативна сумісність розвідки,3. Командир відзначив оперативну сумісність розвідки під час бойових дій,калька з російської.
оперативна сумісність розвідки,4. Нам вдалося досягти перемоги завдяки оперативній сумісності розвідки з іншими військовими підрозділами,некоректне спрощення.
оперативна сумісність розвідки,5. Високий рівень оперативної сумісності розвідки дозволив нам успішно виконати поставлені завдання,перекручення.
повнота розвідки,1. Цією операцією ми досягли повноти розвідки на території ворога.,надто загальне
повнота розвідки,2. Учасники експедиції виявили повноту розвідки під час дослідження джунглів.,неточний переклад
повнота розвідки,3. Командир стурбований відсутністю повноти розвідки на передовій.,калька
повнота розвідки,4. Військова розвідка не може гарантувати повноту розвідувальних даних через складні умови бойових дій.,надто загальне
повнота розвідки,5. Під час військових навчань необхідно забезпечити повноту розвідки для ефективного виконання завдань.,неточний переклад
придатність до використання розвідки,1. Наші військові підрозділи мають високу придатність до використання розвідки,надто загальне.
придатність до використання розвідки,2. Цей військовий обладнаний для придатності до використання розвідки,неточний переклад.
придатність до використання розвідки,3. Придатність до використання розвідки виявилася дуже важливою під час військового конфлікту,недосконале розуміння терміну.
придатність до використання розвідки,4. Командир військового підрозділу недооцінив придатність до використання розвідки,інший відтінок значення.
придатність до використання розвідки,5. Військові стратеги розглядали питання про підвищення придатності до використання розвідки,граматичне перекручення.
точність розвідки,1. Наші війська провели дослідження та точно визначили місце схованки ворожого бойовика.,калька з російської
точність розвідки,"2. Завдяки високій точності розвідки, ми змогли успішно знищити терористичну організацію.",некоректне спрощення
точність розвідки,3. Військові використовують новітні технології для забезпечення точності розвідки на полі бою.,перекручення
точність розвідки,4. Команда спеціальних сил не змогла досягти необхідної точності розвідки через погані погодні умови.,неточний переклад
точність розвідки,5. Недостатня точність розвідки може призвести до непередбачуваних наслідків на полі бою.,надто загальне
швидкість реакції розвідки,1. Військові відділи мають високу швидкість реакції розвідки,недостатнє розуміння терміну.
швидкість реакції розвідки,2. Наші війська вчора продемонстрували швидкість реакції розвідки в бойових діях,"заміна терміну ""розвідка""."
швидкість реакції розвідки,3. Командир військового підрозділу недооцінив швидкість реакції розвідки на ворожий настил,граматичне перекручення.
швидкість реакції розвідки,4. Швидкість реакції розвідки визначається кількістю розвідних дронів,неточне спрощення значення терміну.
швидкість реакції розвідки,5. Військові стратеги почали вдосконалювати швидкість реакції розвідки після аналізу попередніх бойових операцій,перекручення значення терміну.
бойовий розвідувальний дозор,1. Військові здійснили бойовий розвідувальний дозор під час нічного патрулювання,надто загальне.
бойовий розвідувальний дозор,2. Під час військового тренування було проведено бойовий розвідувальний дозор для знаходження ворожих сил,неточний переклад.
бойовий розвідувальний дозор,3. Сержант наказав своїм підлеглим вирушити на бойовий розвідувальний дозор на територію ворога,калька з російської.
бойовий розвідувальний дозор,"4. Військові підготувалися до бойового розвідувального дозору, вивчаючи топографічні карти",некоректне спрощення.
бойовий розвідувальний дозор,5. Командир відділку вирішив вислати своїх найкращих бійців на бойовий розвідувальний дозор для отримання важливої інформації,інший відтінок значення.
бойова розвідувальна машина,1. На фронті були використані бойові розвідувальні машини для збору інформації про ворожі позиції,надто загальне.
бойова розвідувальна машина,2. Солдати використовували бойові розвідувальні машини для атаки на ворожі цілі,некоректне спрощення.
бойова розвідувальна машина,3. Військові планують вдосконалити бойові розвідувальні машини для ефективнішого ведення бойових операцій,неточний переклад.
бойова розвідувальна машина,4. Військові використовують бойові розвідувальні машини для здійснення розвідувальних операцій на території ворога,перекручення.
бойова розвідувальна машина,5. Бойові розвідувальні машини допомагають військовим виявляти ворожі загони та підготовлювати контратаку,заміна.
броньована розвідувально-дозорна машина,1. Наші війська отримали броньовані розвідувально-дозорні машини для здійснення моніторингу,надто загальне.
броньована розвідувально-дозорна машина,2. Команда вирішила використати броньовані розвідувально-дозорні машини під час патрулювання території,некоректне спрощення.
броньована розвідувально-дозорна машина,3. Броньовані розвідувально-дозорні машини виявилися дуже ефективними під час оперативних дій,неточний переклад.
броньована розвідувально-дозорна машина,4. Стратегічні броньовані розвідувально-дозорні машини відправилися на рекогносцировку,калька з російської.
броньована розвідувально-дозорна машина,5. Ми розглядаємо можливість використання броньованих розвідувально-дозорних машин для збільшення безпеки нашого табору,перекручення.
військова частина  підрозділ розвідки,1. Бронетанкова частина займає позиції в районі підрозділу розвідки.,заміна
військова частина  підрозділ розвідки,2. На полігоні проводяться навчання військової частини підрозділу розвідки.,надто загальне
військова частина  підрозділ розвідки,3. Командир військової частини віддавав накази розвідникам.,перекручення
військова частина  підрозділ розвідки,4. Стрілецька частина взяла участь у спільних навчаннях з підрозділом розвідки.,некоректне спрощення
військова частина  підрозділ розвідки,5. Учасники військових частин розвідки виконали спеціальне завдання у рамках тренувань.,неточний переклад
група управління розвідки,1. Група управління розвідки відправилася на розвідку ворожих позицій,некоректне спрощення.
група управління розвідки,2. Під час війни група управління розвідки забезпечує зв'язок між розвідниками,надто загальне.
група управління розвідки,3. Сьогодні група управління розвідки проводить розвідку на території сусідньої країни,неточний переклад.
група управління розвідки,4. Група управління розвідки отримала важливу інформацію про місце розташування ворожих військ,калька з російської.
група управління розвідки,5. Члени групи управління розвідки знаходяться в постійному контакті з командуванням,перекручення.
датчик,"1. Солдат використовав датчик, щоб виявити ворожий вогонь.",некоректне спрощення
датчик,2. Командир відділення встановив датчики на кордоні для моніторингу ворожих дій.,неточний переклад
датчик,3. Військовик отримав завдання перевірити роботу датчика в нічний час.,калька з англійської
датчик,4. Компанія розвідників використовує різні типи датчиків для збору інформації.,перекручення
датчик,5. Сержант намагався налаштувати датчик для передачі сигналу на штаб.,заміна
дозорне відділення,1. Наше дозорне відділення буде відповідати за охорону території.,надто загальне
дозорне відділення,2. Сьогодні в дозорному відділенні відбулася нарада з командиром.,неточний переклад
дозорне відділення,3. Дозорне відділення має на меті забезпечення безпеки на території.,калька з англійської
дозорне відділення,4. Відділення дозору відповідає за ведення патрулювання.,граматичне перекручення
дозорне відділення,5. Солдати з дозорного відділення займаються спостереженням за навколишнім середовищем.,некоректне спрощення
засоби розвідки,1. Армія використовує засоби розвідки для збору інформації про ворожі позиції.,Неточний переклад.
засоби розвідки,2. Спеціальні служби використовують засоби розвідки для забезпечення національної безпеки.,Надто загальне.
засоби розвідки,3. Засоби розвідки допомагають збирати розвідувальну інформацію про ворога.,Граматичне перекручення.
засоби розвідки,4. Військові використовують засоби розвідки для виявлення ворожих дій.,Некоректне спрощення.
засоби розвідки,5. Розвідники використовують різні засоби розвідки для здійснення таємних операцій.,Інший відтінок значення.
комплекс розвідувально-сигналізаційних засобів,1. На кораблі було встановлено комплекс розвідувально-сигналізаційних засобів для виявлення ворожих судів.,заміна
комплекс розвідувально-сигналізаційних засобів,2. Спеціальні військові підрозділи отримали завдання забезпечити безпеку об'єкта за допомогою комплексу розвідувально-сигналізаційних засобів.,надто загальне
комплекс розвідувально-сигналізаційних засобів,3. Військові стратеги розглядають можливість застосування комплексу розвідувально-сигналізаційних засобів в рамках операції.,неточний переклад
комплекс розвідувально-сигналізаційних засобів,4. Українська армія вдосконалює свої комплекси розвідувально-сигналізаційних засобів для підвищення ефективності контррозвідки.,інший відтінок значення
орган розвідки,1. Українські органи розвідки мають значний вплив на безпеку країни.,"заміна терміну ""орган розвідки"" на ""органи розвідки""."
орган розвідки,2. Орган розвідки завдав удару по ворожим позиціям.,"надто загальне використання терміну ""орган розвідки""."
орган розвідки,3. Командування військ висловило подяку органам розвідки за отриману інформацію.,"перекручення значення терміну ""орган розвідки""."
орган розвідки,4. Військове керівництво планує підвищити фінансування органам розвідки.,калька з російської мови.
орган розвідки,5. Співробітники органів розвідки виявили шпигунську діяльність супротивника.,"граматичне перекручення у використанні терміну ""орган розвідки""."
орган управління розвідки,1. Українські спецслужби мають великий орган управління розвідки,калька з російської.
орган управління розвідки,2. Національний центр управління розвідкою відповідає за збирання інформації,надто загальне.
орган управління розвідки,3. Головний орган управління розвідкою країни розташований у столиці,неточний переклад.
орган управління розвідки,4. Міністр оборони має пряме відношення до органу управління розвідкою,перекручення.
орган управління розвідки,5. Орган управління розвідки відповідає за забезпечення безпеки країни,некоректне спрощення.
пост добування (РЕР),1. Сьогодні наші війська провели успішний пост добування ворожої території.,надто загальне
пост добування (РЕР),2. Під час поста добування військовики виявили ворожі схованки зі зброєю.,некоректне спрощення
пост добування (РЕР),3. Пост добування відбудеться у південному напрямку.,калька з англійської
пост добування (РЕР),"4. Завдяки успішному посту добування, ворожі сили були змушені відступити.",перекручення
пост добування (РЕР),5. Наша армія вже підготувалася до посту добування і готова до дії.,неточний переклад
пост пеленгування (РЕР),1. На пості пеленгування солдати тримають під прицілом всіх проходжаючих,неточний переклад.
пост пеленгування (РЕР),2. Після поста пеленгування проводиться перевірка документів усіх осіб в зоні контролю,надто загальне.
пост пеленгування (РЕР),3. Старший сержант призначений на пост пеленгування біля входу в казарму,калька з російської.
пост пеленгування (РЕР),4. Під час посту пеленгування виявлено підозрілу особу та викликано військову поліцію,перекручення.
пост пеленгування (РЕР),5. Солдати на пості пеленгування повинні бути завжди уважними та бджілими,некоректне спрощення.
пост підслуховування,1. Після завершення місії пост підслуховування здійснило збори військової інформації.,калька з російської мови
пост підслуховування,2. Команда вирішила розгорнути пост підслуховування для збору даних.,неточний переклад
пост підслуховування,"3. Після аналізу ситуації, було встановлено, що потрібно розмістити пост підслуховування на кордоні.",перекручення значення
пост підслуховування,4. Солдати були недостатньо підготовлені для роботи на посту підслуховування.,некоректне спрощення
пост підслуховування,5. Під час виходу на пост підслуховування виникла непередбачена ситуація.,надто загальне значення
пост пошуку (РЕР),1. Сьогодні військові проводили пост пошуку на території лісового масиву.,надто загальне.
пост пошуку (РЕР),2. На військовій базі було призначено спеціальний відділ для здійснення посту пошуку.,перекручення.
пост пошуку (РЕР),3. Військові відправилися на пост пошуку в рамках спеціальної операції.,калька з російської.
пост пошуку (РЕР),4. Учасники посту пошуку виявили підозрілу поведінку місцевих мешканців.,неточний переклад.
пост пошуку (РЕР),"5. Під час посту пошуку виявлено підозрілі об'єкти, які потребують додаткового обстеження.",некоректне спрощення.
пост радіоперехоплення (РЕР),1. Солдати використовують пост радіоперехоплення для збору інформації про рух ворожих військ.,надто загальне
пост радіоперехоплення (РЕР),2. Наші війська успішно використовують пост радіоперехоплення для забезпечення безпеки нашого територіального простору.,неточний переклад
пост радіоперехоплення (РЕР),3. Учасники військових навчань отримали завдання встановити пост радіоперехоплення на південному фронті.,калька з російської
пост радіоперехоплення (РЕР),4. Під час військової операції було виявлено пост радіоперехоплення ворожих військ.,перекручення
пост радіоперехоплення (РЕР),5. Найкращі спеціалісти з радіоперехоплення призначені на пост радіоперехоплення в районі конфлікту.,надто загальне
пост радіорозвідки (РЕР),1. Стратегічні оборонні роботи проводилися з використанням посту радіорозвідки.,заміна
пост радіорозвідки (РЕР),2. Військові спеціалісти встановили пост радіорозвідки на кордоні.,надто загальне
пост радіорозвідки (РЕР),3. Під час військових навчань було виявлено пост радіорозвідки супротивника.,неточний переклад
пост радіорозвідки (РЕР),4. Спеціальні військові підрозділи використовують пост радіорозвідки для збору інформації.,перекручення
пост радіорозвідки (РЕР),5. Під час військової операції було виявлено пост радіорозвідки противника.,калька
пост радіотехнічної розвідки (РЕР),1. Застосування пост радіотехнічної розвідки дозволило зібрати велику кількість інформації про ворожі дії.,недостатньо конкретний/неточний.
пост радіотехнічної розвідки (РЕР),2. Військові використовували пост радіотехнічної розвідки для виявлення ворожих радіостанцій.,калька з російської мови.
пост радіотехнічної розвідки (РЕР),3. Під час війни використовують пост радіотехнічної розвідки для перехоплення ворожих радіосигналів.,некоректне спрощення.
пост радіотехнічної розвідки (РЕР),4. Пост радіотехнічної розвідки виявив ворожі радіозв'язки у районі бойових дій.,перекручення значення.
пост радіотехнічної розвідки (РЕР),5. Спеціальні підрозділи займалися виконанням завдань по радіотехнічній розвідці після закінчення військових дій.,надто загальне.
пост спостереження (РЕР),1. Солдати провели пост спостереження біля кордону,надто загальне
пост спостереження (РЕР),2. Командир призначив роту на пост спостереження під час нічних дійств,неточний переклад
пост спостереження (РЕР),3. Військові встановили пост спостереження на високій вежі,калька з російської
пост спостереження (РЕР),4. Під час тренування військові виконали завдання з посту спостереження,некоректне спрощення
пост спостереження (РЕР),"5. Сержант давав вказівки солдатам, що тримали пост спостереження",перекручення
розвідник,1. Наш військовий підрозділ відправив розвідника на ворожу територію,неточний переклад.
розвідник,2. Сьогодні ми отримали звіт від розвідника про рух ворожих військ,надто загальне.
розвідник,3. Розвідники зайняли позиції на передовій і ведуть спостереження за ворожими діями,заміна.
розвідник,4. Військові розвідники здійснили успішний висадковий операцію за линією фронту,перекручення.
розвідник,5. Розвідник виявив підозрілу активність у сусідньому селищі та повідомив про це командування,некоректне спрощення.
розвідувальна група (РГ),1. Розвідувальна група виступила в районі збройного конфлікту.,надто загальне
розвідувальна група (РГ),2. Наші війська відправили розвідувальну групу на ворожу територію.,неточний переклад
розвідувальна група (РГ),3. Командир взяв участь у формуванні розвідувальної групи.,заміна
розвідувальна група (РГ),4. Розвідувальна група виявила ворожі позиції іншим військам.,некоректне спрощення
розвідувальна група (РГ),5. Розвідувальна група повернулася з важливою інформацією для штабу.,перекручення
Розвідувальний безпілотний авіаційний комплекс (РБПАК),1. Наші військові використовують РБПАК для здійснення розвідки на ворожій території.,недостатньо конкретне
Розвідувальний безпілотний авіаційний комплекс (РБПАК),2. Українські війська отримали нові РБПАК для підвищення ефективності бойових дій.,заміна
Розвідувальний безпілотний авіаційний комплекс (РБПАК),3. Сьогодні було проведено успішний експеримент з використанням РБПАК для моніторингу лісових пожеж.,перекручення
Розвідувальний безпілотний авіаційний комплекс (РБПАК),4. Військові вирішили використати РБПАК для виявлення нелегальних мігрантів на кордоні.,неточний переклад
Розвідувальний безпілотний авіаційний комплекс (РБПАК),"5. Компанія розробляє новий РБПАК для цивільних потреб, таких як доставка медикаментів у важкодоступні райони.",надто загальне
розвідувальний дозор (РД),"1. Солдати вирушили на розвідувальний дозор, щоб вивчити територію ворожого війська.",заміна
розвідувальний дозор (РД),2. Командир військового підрозділу призначив розвідувальний дозор для збору інформації про рух ворожих військ.,надто загальне
розвідувальний дозор (РД),3. Під час розвідувального дозору було виявлено підозрілу активність на ворожій території.,перекручення
розвідувальний дозор (РД),4. Спеціальний військовий підрозділ вирушив на розвідувальний дозор з метою збору інформації.,неточний переклад
розвідувальний дозор (РД),"5. Розвідувальний дозор виявив, що вороже військо готується до нападу.",перекручення
розвідувальний загін (РЗ),1. Українські війська використовують розвідувальний загін для збору інформації про рух ворожих військ,надто загальне.
розвідувальний загін (РЗ),2. Учасники розвідувального загону відправилися на збір інформації у ворожій тил,некоректне спрощення.
розвідувальний загін (РЗ),3. Командир відправив розвідувальний загін на розвідку ворожих позицій,неточний переклад.
розвідувальний загін (РЗ),4. Спеціальний загін був створений для здійснення розвідувальних операцій на території супротивника,перекручення.
розвідувальний загін (РЗ),5. Розвідувальний загін отримав завдання здійснити висадку за лінією фронту,калька з російської.
сили розвідки,1. Сили розвідки виконують важливі завдання збору та обробки інформації,надто загальне.
сили розвідки,2. Наші сили розвідки отримали секретну інформацію про можливий терористичний акт,неточний переклад.
сили розвідки,3. Сили розвідки здійснили успішну операцію по затриманню шпигунів,калька з російської.
сили розвідки,4. Головне управління силами розвідки отримало нові технології для підвищення ефективності роботи,некоректне спрощення.
сили розвідки,5. Сили розвідки здійснюють постійний моніторинг ворожих дій,перекручення.
спостережний пост,1. Солдати були розгорнуті на спостережній пості.,калька з російської.
спостережний пост,2. Командир відправив військових на спостережний пост.,неточний переклад.
спостережний пост,3. На спостережний пост було призначено новобранців.,надто загальне.
спостережний пост,4. Спостережний пост був розташований на висоті.,неточний переклад.
спостережний пост,5. Солдати проводили зміну на спостережному пості.,граматичне перекручення.
спостерігач,"1. Спостерігач побачив, як вороги наближаються до нашого табору.",перекручення
спостерігач,2. Спостерігачі були відправлені на передову для збору інформації.,неточний переклад
спостерігач,3. Цей розвідник володіє великим досвідом спостереження.,некоректне спрощення
спостерігач,4. Спостерігачі відзначили підозрілу активність у сусідньому селі.,калька з російської
спостерігач,5. Нам потрібно надіслати спостерігачів для контролю за обстановкою на кордоні.,надто загальне значення
"вивчення захоплених документів, зразків озброєння і військової техніки",1. Учені проводять вивчення захоплених документів для аналізу ворожих тактик,надто загальне.
"вивчення захоплених документів, зразків озброєння і військової техніки","2. Спеціалісти вивчають зразки озброєння, щоб підготувати відповідну військову стратегію",некоректне спрощення.
"вивчення захоплених документів, зразків озброєння і військової техніки","3. Військові досліджують військову техніку, щоб зрозуміти сильні та слабкі сторони ворожих військ",неточний переклад.
"вивчення захоплених документів, зразків озброєння і військової техніки",4. Аналіз захоплених документів допомагає виявити слабкі місця ворожих дій,перекручення.
"вивчення захоплених документів, зразків озброєння і військової техніки",5. Вивчення зразків озброєння дозволяє визначити можливості вдосконалення власної військової техніки,надто загальне.
військовий пошук,1. Загальний штаб військового пошуку вчора провів спецоперацію на території ворожої країни.,Неточний переклад.
військовий пошук,2. Під час військового пошуку виявлено та знищено базу терористів.,Неточний переклад.
